Last inventory,Operating system,RAM (MB),CPU (MHz),CPU type,CPU number,RAM_GB,CPU_Family,Cores_per_CPU,Total_Cores,Machine_Profile,Impacto_Operacional
2026-02-04 16:14:59,Microsoft Windows 11 Pro,16384,2100,AMD Ryzen 5 5500U with Radeon Graphics [6 core(s) x86_64],1,16.0,Ryzen 5,6,6,Notebook,Médio
2026-02-04 16:28:33,Microsoft Windows 11 Pro,16384,1190,Intel(R) Core(TM) i5-1035G1 CPU @ 1.00GHz [4 core(s) x86_64],1,16.0,Core i5,4,4,Notebook,Médio
2026-02-05 08:29:47,Microsoft Windows 11 Pro,8192,1190,Intel(R) Core(TM) i5-1035G1 CPU @ 1.00GHz [4 core(s) x86_64],1,8.0,Core i5,4,4,Notebook,Alto
2026-02-05 11:21:20,Microsoft Windows 11 Pro,8192,1190,Intel(R) Core(TM) i5-1035G1 CPU @ 1.00GHz [4 core(s) x86_64],1,8.0,Core i5,4,4,Notebook,Alto
2026-02-06 10:23:59,Microsoft Windows 11 Pro,32768,2304,11th Gen Intel(R) Core(TM) i7-11800H @ 2.30GHz [8 core(s) x86_64],1,32.0,Core i7,8,8,Notebook,Baixo
2026-02-06 11:40:38,Microsoft Windows 11 Business,24576,2000,AMD Ryzen 7 PRO 5875U with Radeon Graphics [8 core(s) x86_64],1,24.0,Ryzen 7,8,8,Notebook,Baixo
2026-02-06 13:55:47,Microsoft Windows 11 Pro,6987,2100,AMD Ryzen 5 5500U with Radeon Graphics [6 core(s) x86_64],1,6.8232421875,Ryzen 5,6,6,Notebook,Alto
2026-02-07 08:22:11,Microsoft Windows 11 Pro,8192,1190,Intel(R) Core(TM) i5-1035G1 CPU @ 1.00GHz [4 core(s) x86_64],1,8.0,Core i5,4,4,Notebook,Alto
2026-02-09 07:06:05,Microsoft Windows 11 Pro,16384,2100,AMD Ryzen 5 5500U with Radeon Graphics [6 core(s) x86_64],1,16.0,Ryzen 5,6,6,Notebook,Médio
2026-02-09 07:51:47,Microsoft Windows 11 Pro,8192,1190,Intel(R) Core(TM) i5-1035G1 CPU @ 1.00GHz [4 core(s) x86_64],1,8.0,Core i5,4,4,Notebook,Alto
2026-02-09 07:59:52,Microsoft Windows 11 Pro,16384,1300,12th Gen Intel(R) Core(TM) i5-1235U [10 core(s) x86_64],1,16.0,Core i5,10,10,Notebook,Médio
2026-02-09 08:34:07,Microsoft Windows 11 Pro,16384,2100,AMD Ryzen 5 5500U with Radeon Graphics [6 core(s) x86_64],1,16.0,Ryzen 5,6,6,Notebook,Médio
2026-02-09 09:00:47,Microsoft Windows 11 Pro,16384,2419,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz [4 core(s) x86_64],1,16.0,Core i5,4,4,Notebook,Médio
2026-02-09 09:44:34,Microsoft Windows 11 Pro,16384,1700,12th Gen Intel(R) Core(TM) i7-1255U [10 core(s) x86_64],1,16.0,Core i7,10,10,Notebook,Baixo
2026-02-10 07:21:35,Microsoft Windows 11 Pro,16384,3201,AMD Ryzen 7 7735HS with Radeon Graphics [8 core(s) x86_64],1,16.0,Ryzen 7,8,8,Notebook,Baixo
2026-02-10 08:29:26,Microsoft Windows 11 Pro,16384,2100,AMD Ryzen 5 5500U with Radeon Graphics [6 core(s) x86_64],1,16.0,Ryzen 5,6,6,Notebook,Médio
2026-02-10 09:10:29,Microsoft Windows 11 Enterprise,6987,2100,AMD Ryzen 5 5500U with Radeon Graphics [6 core(s) x86_64],1,6.8232421875,Ryzen 5,6,6,Notebook,Alto
2026-02-10 09:12:12,Microsoft Windows 11 Pro,16384,2100,AMD Ryzen 5 5500U with Radeon Graphics [6 core(s) x86_64],1,16.0,Ryzen 5,6,6,Notebook,Médio
2026-02-10 16:24:15,Microsoft Windows 11 Pro,32768,2304,11th Gen Intel(R) Core(TM) i7-11800H @ 2.30GHz [8 core(s) x86_64],1,32.0,Core i7,8,8,Notebook,Baixo
2026-02-10 17:59:03,Microsoft Windows 11 Pro,8192,2611,11th Gen Intel(R) Core(TM) i5-1145G7 @ 2.60GHz [4 core(s) x86_64],1,8.0,Core i5,4,4,Desktop,Alto
2026-02-11 08:43:18,Microsoft Windows 11 Pro,6987,2100,AMD Ryzen 5 5500U with Radeon Graphics [6 core(s) x86_64],1,6.8232421875,Ryzen 5,6,6,Notebook,Alto
2026-02-11 12:36:37,Microsoft Windows 11 Pro,16384,2100,AMD Ryzen 5 5500U with Radeon Graphics [6 core(s) x86_64],1,16.0,Ryzen 5,6,6,Notebook,Médio
2026-02-11 14:11:29,Microsoft Windows 11 Pro,16384,2100,AMD Ryzen 5 5500U with Radeon Graphics [6 core(s) x86_64],1,16.0,Ryzen 5,6,6,Notebook,Médio
2026-02-11 16:05:42,Microsoft Windows 11 Pro,16384,1700,12th Gen Intel(R) Core(TM) i7-1255U [10 core(s) x86_64],1,16.0,Core i7,10,10,Notebook,Baixo
2026-02-12 02:44:15,Microsoft Windows 11 Pro,32768,2200,13th Gen Intel(R) Core(TM) i9-13900HX [24 core(s) x86_64],1,32.0,Core i9,24,24,Desktop,Baixo
2026-02-12 06:56:31,Microsoft Windows 11 Pro,16384,2100,AMD Ryzen 5 5500U with Radeon Graphics [6 core(s) x86_64],1,16.0,Ryzen 5,6,6,Notebook,Médio
2026-02-12 15:35:46,Microsoft Windows 11 Pro,16384,1700,12th Gen Intel(R) Core(TM) i7-1255U [10 core(s) x86_64],1,16.0,Core i7,10,10,Notebook,Baixo
2026-02-12 16:12:43,Microsoft Windows 11 Pro,32768,2304,11th Gen Intel(R) Core(TM) i7-11800H @ 2.30GHz [8 core(s) x86_64],1,32.0,Core i7,8,8,Notebook,Baixo
2026-02-12 19:18:11,Microsoft Windows 11 Pro,16384,2100,AMD Ryzen 5 5500U with Radeon Graphics [6 core(s) x86_64],1,16.0,Ryzen 5,6,6,Notebook,Médio
2026-02-12 23:39:15,Microsoft Windows 11 Pro,16384,2100,AMD Ryzen 5 5500U with Radeon Graphics [6 core(s) x86_64],1,16.0,Ryzen 5,6,6,Notebook,Médio
2026-02-13 03:31:47,Microsoft Windows 11 Pro,8192,1190,Intel(R) Core(TM) i5-1035G1 CPU @ 1.00GHz [4 core(s) x86_64],1,8.0,Core i5,4,4,Notebook,Alto
2026-02-13 06:40:40,Microsoft Windows 11 Pro,16384,1300,12th Gen Intel(R) Core(TM) i5-1235U [10 core(s) x86_64],1,16.0,Core i5,10,10,Notebook,Médio
2026-02-13 07:22:19,Microsoft Windows 11 Pro,6987,2100,AMD Ryzen 5 5500U with Radeon Graphics [6 core(s) x86_64],1,6.8232421875,Ryzen 5,6,6,Notebook,Alto
2026-02-13 07:31:07,Microsoft Windows 11 Pro,16384,1300,12th Gen Intel(R) Core(TM) i5-1235U [10 core(s) x86_64],1,16.0,Core i5,10,10,Notebook,Médio
2026-02-13 08:32:16,Microsoft Windows 11 Pro,16384,2419,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz [4 core(s) x86_64],1,16.0,Core i5,4,4,Notebook,Médio
2026-02-13 08:54:23,Microsoft Windows 11 Pro,16384,3201,AMD Ryzen 7 7735HS with Radeon Graphics [8 core(s) x86_64],1,16.0,Ryzen 7,8,8,Notebook,Baixo
2026-02-13 09:59:17,Microsoft Windows 11 Pro,65536,2200,13th Gen Intel(R) Core(TM) i9-13900HX [24 core(s) x86_64],1,64.0,Core i9,24,24,Desktop,Baixo
2026-02-13 10:53:50,Microsoft Windows 11 Pro,16384,2100,AMD Ryzen 5 5500U with Radeon Graphics [6 core(s) x86_64],1,16.0,Ryzen 5,6,6,Notebook,Médio
2026-02-13 12:20:13,Microsoft Windows 11 Pro,16384,3201,AMD Ryzen 7 7735HS with Radeon Graphics [8 core(s) x86_64],1,16.0,Ryzen 7,8,8,Notebook,Baixo
2026-02-13 13:14:56,Microsoft Windows 11 Pro,16384,1700,12th Gen Intel(R) Core(TM) i7-1255U [10 core(s) x86_64],1,16.0,Core i7,10,10,Notebook,Baixo
2026-02-13 13:31:35,Microsoft Windows 11 Pro,16384,1700,12th Gen Intel(R) Core(TM) i7-1255U [10 core(s) x86_64],1,16.0,Core i7,10,10,Notebook,Baixo
2026-02-13 15:17:09,Microsoft Windows 11 Pro,32768,2300,12th Gen Intel(R) Core(TM) i7-12700H [14 core(s) x86_64],1,32.0,Core i7,14,14,Notebook,Baixo
2026-02-13 16:28:54,Microsoft Windows 11 Pro,16384,2100,AMD Ryzen 5 5500U with Radeon Graphics [6 core(s) x86_64],1,16.0,Ryzen 5,6,6,Notebook,Médio
2026-02-13 17:42:12,Microsoft Windows 11 Pro,16384,3201,AMD Ryzen 7 7735HS with Radeon Graphics [8 core(s) x86_64],1,16.0,Ryzen 7,8,8,Notebook,Baixo
2026-02-14 13:16:21,Microsoft Windows 11 Pro,6987,2100,AMD Ryzen 5 5500U with Radeon Graphics [6 core(s) x86_64],1,6.8232421875,Ryzen 5,6,6,Notebook,Alto
2026-02-15 09:47:08,Microsoft Windows 11 Pro,6987,2100,AMD Ryzen 5 5500U with Radeon Graphics [6 core(s) x86_64],1,6.8232421875,Ryzen 5,6,6,Notebook,Alto
2026-02-16 08:06:46,Microsoft Windows 11 Pro,8192,1190,Intel(R) Core(TM) i5-1035G1 CPU @ 1.00GHz [4 core(s) x86_64],1,8.0,Core i5,4,4,Notebook,Alto
2026-02-16 08:54:48,Microsoft Windows 11 Pro,16384,2100,AMD Ryzen 5 5500U with Radeon Graphics [6 core(s) x86_64],1,16.0,Ryzen 5,6,6,Notebook,Médio
2026-02-16 08:58:47,Microsoft Windows 11 Pro,16384,1300,12th Gen Intel(R) Core(TM) i5-1235U [10 core(s) x86_64],1,16.0,Core i5,10,10,Notebook,Médio
2026-02-16 11:32:29,Microsoft Windows 11 Pro,6987,2100,AMD Ryzen 5 5500U with Radeon Graphics [6 core(s) x86_64],1,6.8232421875,Ryzen 5,6,6,Notebook,Alto
2026-02-16 11:44:38,Microsoft Windows 11 Pro,8192,2419,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz [4 core(s) x86_64],1,8.0,Core i5,4,4,Notebook,Alto
2026-02-16 18:14:38,Microsoft Windows 11 Pro,16384,2419,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz [4 core(s) x86_64],1,16.0,Core i5,4,4,Notebook,Médio
2026-02-16 21:33:08,Microsoft Windows 11 Pro,8192,2904,Intel(R) Core(TM) i5-10400 CPU @ 2.90GHz [6 core(s) x86_64],1,8.0,Core i5,6,6,Desktop,Alto
2026-02-16 22:27:04,Microsoft Windows 11 Pro,8192,1190,Intel(R) Core(TM) i5-1035G1 CPU @ 1.00GHz [4 core(s) x86_64],1,8.0,Core i5,4,4,Notebook,Alto
2026-02-17 07:22:36,Microsoft Windows 11 Pro,8192,1190,Intel(R) Core(TM) i5-1035G1 CPU @ 1.00GHz [4 core(s) x86_64],1,8.0,Core i5,4,4,Notebook,Alto
2026-02-17 07:31:19,Microsoft Windows 11 Pro,6987,2100,AMD Ryzen 5 5500U with Radeon Graphics [6 core(s) x86_64],1,6.8232421875,Ryzen 5,6,6,Notebook,Alto
2026-02-17 07:33:51,Microsoft Windows 11 Pro,8192,1190,Intel(R) Core(TM) i5-1035G1 CPU @ 1.00GHz [4 core(s) x86_64],1,8.0,Core i5,4,4,Notebook,Alto
2026-02-17 09:58:23,Microsoft Windows 11 Pro,6987,2100,AMD Ryzen 5 5500U with Radeon Graphics [6 core(s) x86_64],1,6.8232421875,Ryzen 5,6,6,Notebook,Alto
2026-02-17 11:25:23,Microsoft Windows 11 Pro,8192,1190,Intel(R) Core(TM) i5-1035G1 CPU @ 1.00GHz [4 core(s) x86_64],1,8.0,Core i5,4,4,Notebook,Alto
2026-02-18 07:50:07,Microsoft Windows 11 Pro,6987,2100,AMD Ryzen 5 5500U with Radeon Graphics [6 core(s) x86_64],1,6.8232421875,Ryzen 5,6,6,Notebook,Alto
2026-02-18 12:58:16,Microsoft Windows 11 Pro,16384,2000,AMD Ryzen 7 7730U with Radeon Graphics [8 core(s) x86_64],1,16.0,Ryzen 7,8,8,Desktop,Baixo
2026-02-18 22:21:22,Microsoft Windows 11 Pro,16384,1600,13th Gen Intel(R) Core(TM) i5-13500T [14 core(s) x86_64],1,16.0,Core i5,14,14,Desktop,Médio
2026-02-19 07:14:04,Microsoft Windows 11 Pro,6987,2100,AMD Ryzen 5 5500U with Radeon Graphics [6 core(s) x86_64],1,6.8232421875,Ryzen 5,6,6,Notebook,Alto
2026-02-19 08:13:59,Microsoft Windows 11 Pro,8192,1190,Intel(R) Core(TM) i5-1035G1 CPU @ 1.00GHz [4 core(s) x86_64],1,8.0,Core i5,4,4,Notebook,Alto
2026-02-19 09:24:03,Microsoft Windows 11 Pro,16384,2100,AMD Ryzen 5 5500U with Radeon Graphics [6 core(s) x86_64],1,16.0,Ryzen 5,6,6,Notebook,Médio
2026-02-19 10:22:34,Microsoft Windows 11 Pro,16384,1300,12th Gen Intel(R) Core(TM) i5-1235U [10 core(s) x86_64],1,16.0,Core i5,10,10,Notebook,Médio
2026-02-19 11:14:13,Microsoft Windows 11 Pro,8192,1190,Intel(R) Core(TM) i5-1035G1 CPU @ 1.00GHz [4 core(s) x86_64],1,8.0,Core i5,4,4,Notebook,Alto
2026-02-19 12:14:21,Microsoft Windows 11 Pro,32768,2300,12th Gen Intel(R) Core(TM) i7-12700H [14 core(s) x86_64],1,32.0,Core i7,14,14,Notebook,Baixo
2026-02-19 13:33:00,Microsoft Windows 11 Pro,8192,1190,Intel(R) Core(TM) i5-1035G1 CPU @ 1.00GHz [4 core(s) x86_64],1,8.0,Core i5,4,4,Notebook,Alto
2026-02-19 15:54:50,Microsoft Windows 11 Pro,16384,1700,12th Gen Intel(R) Core(TM) i7-1255U [10 core(s) x86_64],1,16.0,Core i7,10,10,Notebook,Baixo
2026-02-19 17:11:20,Microsoft Windows 11 Pro,6987,2100,AMD Ryzen 5 5500U with Radeon Graphics [6 core(s) x86_64],1,6.8232421875,Ryzen 5,6,6,Notebook,Alto
2026-02-19 20:37:34,Microsoft Windows 11 Pro,8192,1190,Intel(R) Core(TM) i5-1035G1 CPU @ 1.00GHz [4 core(s) x86_64],1,8.0,Core i5,4,4,Notebook,Alto
2026-02-19 20:55:33,Microsoft Windows 11 Pro,6987,2100,AMD Ryzen 5 5500U with Radeon Graphics [6 core(s) x86_64],1,6.8232421875,Ryzen 5,6,6,Notebook,Alto
2026-02-19 22:51:52,Microsoft Windows 11 Pro,8192,1190,Intel(R) Core(TM) i5-1035G1 CPU @ 1.00GHz [4 core(s) x86_64],1,8.0,Core i5,4,4,Notebook,Alto
2026-02-20 00:31:34,Microsoft Windows 11 Pro,8192,2419,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz [4 core(s) x86_64],1,8.0,Core i5,4,4,Notebook,Alto
2026-02-20 01:51:57,Microsoft Windows 11 Pro,6987,2100,AMD Ryzen 5 5500U with Radeon Graphics [6 core(s) x86_64],1,6.8232421875,Ryzen 5,6,6,Notebook,Alto
2026-02-20 06:51:21,Microsoft Windows 11 Pro,6987,2100,AMD Ryzen 5 5500U with Radeon Graphics [6 core(s) x86_64],1,6.8232421875,Ryzen 5,6,6,Notebook,Alto
2026-02-20 07:16:51,Microsoft Windows 11 Pro,8192,1190,Intel(R) Core(TM) i5-1035G1 CPU @ 1.00GHz [4 core(s) x86_64],1,8.0,Core i5,4,4,Notebook,Alto
2026-02-20 07:19:01,Microsoft Windows 11 Pro,16384,3201,AMD Ryzen 7 7735HS with Radeon Graphics [8 core(s) x86_64],1,16.0,Ryzen 7,8,8,Notebook,Baixo
2026-02-20 07:22:04,Microsoft Windows 11 Pro,8192,1190,Intel(R) Core(TM) i5-1035G1 CPU @ 1.00GHz [4 core(s) x86_64],1,8.0,Core i5,4,4,Notebook,Alto
2026-02-20 08:09:27,Microsoft Windows 11 Pro,6987,2100,AMD Ryzen 5 5500U with Radeon Graphics [6 core(s) x86_64],1,6.8232421875,Ryzen 5,6,6,Notebook,Alto
2026-02-20 09:14:15,Microsoft Windows 11 Pro,16384,1700,12th Gen Intel(R) Core(TM) i7-1255U [10 core(s) x86_64],1,16.0,Core i7,10,10,Notebook,Baixo
2026-02-20 09:48:55,Microsoft Windows 11 Pro,16384,1700,12th Gen Intel(R) Core(TM) i7-1255U [10 core(s) x86_64],1,16.0,Core i7,10,10,Notebook,Baixo
2026-02-20 10:06:18,Microsoft Windows 11 Pro,16384,1700,12th Gen Intel(R) Core(TM) i7-1255U [10 core(s) x86_64],1,16.0,Core i7,10,10,Notebook,Baixo
2026-02-20 11:44:32,Microsoft Windows 11 Enterprise,16384,1700,12th Gen Intel(R) Core(TM) i7-1255U [10 core(s) x86_64],1,16.0,Core i7,10,10,Notebook,Baixo
2026-02-20 11:46:25,Microsoft Windows 11 Pro,20480,1800,Intel(R) Core(TM) i5-8250U CPU @ 1.60GHz [4 core(s) x86_64],1,20.0,Core i5,4,4,Desktop,Médio
2026-02-20 12:46:09,Microsoft Windows 11 Pro,16384,2100,AMD Ryzen 5 5500U with Radeon Graphics [6 core(s) x86_64],1,16.0,Ryzen 5,6,6,Notebook,Médio
2026-02-20 13:23:59,Microsoft Windows 11 Pro,65536,2300,12th Gen Intel(R) Core(TM) i7-12700H [14 core(s) x86_64],1,64.0,Core i7,14,14,Notebook,Baixo
2026-02-20 14:54:39,Microsoft Windows 11 Pro,8192,1190,Intel(R) Core(TM) i5-1035G1 CPU @ 1.00GHz [4 core(s) x86_64],1,8.0,Core i5,4,4,Notebook,Alto
2026-02-20 15:05:11,Microsoft Windows 11 Pro,65536,2200,13th Gen Intel(R) Core(TM) i9-13900HX [24 core(s) x86_64],1,64.0,Core i9,24,24,Desktop,Baixo
2026-02-20 15:59:36,Microsoft Windows 11 Pro,16384,2100,AMD Ryzen 5 5500U with Radeon Graphics [6 core(s) x86_64],1,16.0,Ryzen 5,6,6,Notebook,Médio
2026-02-20 16:21:56,Microsoft Windows 11 Pro,16384,2100,AMD Ryzen 5 5500U with Radeon Graphics [6 core(s) x86_64],1,16.0,Ryzen 5,6,6,Notebook,Médio
2026-02-20 18:13:03,Microsoft Windows 11 Pro,8192,2419,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz [4 core(s) x86_64],1,8.0,Core i5,4,4,Notebook,Alto
2026-02-21 17:52:49,Microsoft Windows 11 Pro,8192,1190,Intel(R) Core(TM) i5-1035G1 CPU @ 1.00GHz [4 core(s) x86_64],1,8.0,Core i5,4,4,Notebook,Alto
2026-02-21 19:41:49,Microsoft Windows 11 Pro,6987,2100,AMD Ryzen 5 5500U with Radeon Graphics [6 core(s) x86_64],1,6.8232421875,Ryzen 5,6,6,Notebook,Alto
2026-02-23 06:22:32,Microsoft Windows 11 Pro,6987,2100,AMD Ryzen 5 5500U with Radeon Graphics [6 core(s) x86_64],1,6.8232421875,Ryzen 5,6,6,Notebook,Alto
2026-02-23 07:37:50,Microsoft Windows 11 Pro,16384,2419,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz [4 core(s) x86_64],1,16.0,Core i5,4,4,Notebook,Médio
2026-02-23 09:26:00,Microsoft Windows 11 Pro,16384,3201,AMD Ryzen 7 7735HS with Radeon Graphics [8 core(s) x86_64],1,16.0,Ryzen 7,8,8,Notebook,Baixo
2026-02-23 09:26:31,Microsoft Windows 11 Pro,16384,2100,AMD Ryzen 5 5500U with Radeon Graphics [6 core(s) x86_64],1,16.0,Ryzen 5,6,6,Notebook,Médio
2026-02-23 09:26:56,Microsoft Windows 11 Pro,16384,1300,12th Gen Intel(R) Core(TM) i5-1235U [10 core(s) x86_64],1,16.0,Core i5,10,10,Notebook,Médio
2026-02-23 11:36:49,Microsoft Windows 11 Pro,6987,2100,AMD Ryzen 5 5500U with Radeon Graphics [6 core(s) x86_64],1,6.8232421875,Ryzen 5,6,6,Notebook,Alto
2026-02-23 11:45:18,Microsoft Windows 11 Pro,8192,2419,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz [4 core(s) x86_64],1,8.0,Core i5,4,4,Notebook,Alto
2026-02-23 12:58:50,Microsoft Windows 11 Pro,6987,2100,AMD Ryzen 5 5500U with Radeon Graphics [6 core(s) x86_64],1,6.8232421875,Ryzen 5,6,6,Notebook,Alto
2026-02-23 13:13:17,Microsoft Windows 11 Pro,6987,2100,AMD Ryzen 5 5500U with Radeon Graphics [6 core(s) x86_64],1,6.8232421875,Ryzen 5,6,6,Notebook,Alto
